date,series,open,high,low,prev. close,ltp,close,vwap,52W H,52W L,volume,value,no of trades,date
01-Jan-2021,EQ,121.0,128.0,120.6,119.95,126.9,126.4,126.04,128.0,56.0,"6,72,32,056","8,47,38,07,019.65","2,30,275",2021-01-01
04-Jan-2021,EQ,129.0,131.8,126.9,126.4,131.4,131.3,129.65,131.8,56.0,"3,52,04,855","4,56,43,57,489.70","1,28,351",2021-01-04
05-Jan-2021,EQ,130.0,133.25,129.0,131.3,131.2,131.5,131.3,133.25,56.0,"2,14,53,841","2,81,69,27,822.95","78,475",2021-01-05
06-Jan-2021,EQ,132.0,135.4,129.65,131.5,133.6,133.15,133.4,135.4,56.0,"2,46,99,603","3,29,49,25,426.65","85,666",2021-01-06
07-Jan-2021,EQ,134.4,135.0,131.3,133.15,131.75,131.75,132.93,135.4,56.0,"1,53,37,009","2,03,86,95,320.00","62,219",2021-01-07
08-Jan-2021,EQ,133.05,133.75,131.55,131.75,132.15,132.1,132.57,135.4,56.0,"66,35,449","87,96,46,930.95","32,168",2021-01-08
11-Jan-2021,EQ,132.8,135.55,129.55,132.1,134.45,134.6,132.68,135.55,56.0,"1,41,42,114","1,87,64,30,292.25","1,04,880",2021-01-11
12-Jan-2021,EQ,134.95,135.95,133.4,134.6,134.1,134.45,134.72,135.95,56.0,"1,08,69,411","1,46,43,08,367.15","62,440",2021-01-12
13-Jan-2021,EQ,134.55,137.7,132.45,134.45,133.7,134.05,135.31,137.7,56.0,"1,28,18,493","1,73,44,27,383.25","53,584",2021-01-13
14-Jan-2021,EQ,134.75,141.0,134.55,134.05,139.3,139.15,138.72,141.0,56.0,"3,14,34,222","4,36,05,34,437.55","1,26,300",2021-01-14
15-Jan-2021,EQ,138.7,139.5,132.4,139.15,134.0,133.45,135.02,141.0,56.0,"1,49,39,243","2,01,70,76,666.70","71,177",2021-01-15
18-Jan-2021,EQ,133.85,135.25,128.3,133.45,132.8,133.55,132.31,141.0,56.0,"1,78,78,176","2,36,54,49,215.90","78,894",2021-01-18
19-Jan-2021,EQ,134.55,138.2,134.1,133.55,137.3,137.05,136.89,141.0,56.0,"2,14,63,842","2,93,82,69,453.55","89,122",2021-01-19
20-Jan-2021,EQ,137.35,138.95,134.9,137.05,135.65,135.5,136.24,141.0,56.0,"1,32,57,081","1,80,61,09,348.70","1,05,813",2021-01-20
21-Jan-2021,EQ,136.5,137.8,132.3,135.5,134.8,133.9,136.24,141.0,56.0,"1,03,60,818","1,41,15,37,007.50","52,836",2021-01-21
22-Jan-2021,EQ,133.5,135.5,130.9,133.9,132.95,132.35,133.32,141.0,56.0,"1,02,74,387","1,36,97,78,961.50","49,861",2021-01-22
25-Jan-2021,EQ,133.75,134.75,128.9,132.35,130.75,130.7,131.32,141.0,56.0,"75,67,402","99,37,40,083.70","39,629",2021-01-25
27-Jan-2021,EQ,131.0,134.4,130.8,130.7,133.0,132.7,132.78,141.0,56.0,"1,86,32,641","2,47,40,89,155.25","80,999",2021-01-27
28-Jan-2021,EQ,131.0,134.7,129.85,132.7,131.8,131.2,131.77,141.0,56.0,"1,66,39,553","2,19,25,62,043.30","67,643",2021-01-28
29-Jan-2021,EQ,130.8,136.25,127.0,131.2,129.7,130.05,132.99,141.0,56.0,"2,58,72,491","3,44,07,54,038.45","1,07,788",2021-01-29
01-Feb-2021,EQ,130.0,134.8,125.6,130.05,133.25,133.7,130.26,141.0,56.0,"1,58,00,000","2,05,81,06,854.50","84,410",2021-02-01
02-Feb-2021,EQ,134.75,136.8,131.4,133.7,134.0,133.5,133.9,141.0,56.0,"1,07,38,562","1,43,79,05,366.75","58,531",2021-02-02
03-Feb-2021,EQ,134.2,141.2,134.15,133.5,139.25,139.1,138.41,141.2,56.0,"2,11,46,786","2,92,69,56,321.35","98,287",2021-02-03
04-Feb-2021,EQ,139.75,141.8,137.05,139.1,141.0,140.95,140.3,141.8,56.0,"1,83,44,056","2,57,36,55,067.65","73,051",2021-02-04
05-Feb-2021,EQ,142.0,143.2,138.7,140.95,140.4,140.2,140.92,143.2,56.0,"99,54,380","1,40,27,64,957.50","47,846",2021-02-05
08-Feb-2021,EQ,141.2,143.0,139.5,140.2,140.5,140.75,141.29,143.2,56.0,"1,06,42,397","1,50,36,74,116.15","62,200",2021-02-08
09-Feb-2021,EQ,141.45,142.0,137.4,140.75,138.3,137.95,139.48,143.2,56.0,"1,61,02,258","2,24,59,78,353.15","67,624",2021-02-09
10-Feb-2021,EQ,138.9,142.35,138.35,137.95,140.3,139.85,139.87,143.2,56.0,"1,12,20,712","1,56,94,50,814.60","60,146",2021-02-10
11-Feb-2021,EQ,139.3,140.5,134.6,139.85,135.8,135.4,137.37,143.2,56.0,"1,17,97,598","1,62,05,83,622.55","49,560",2021-02-11
12-Feb-2021,EQ,135.85,137.0,134.15,135.4,136.2,136.25,135.77,143.2,56.0,"82,68,755","1,12,26,32,484.40","38,389",2021-02-12
15-Feb-2021,EQ,137.35,137.95,134.8,136.25,136.0,136.1,136.22,143.2,56.0,"78,07,418","1,06,35,48,680.70","37,714",2021-02-15
16-Feb-2021,EQ,136.1,138.45,132.55,136.1,133.6,133.15,135.51,143.2,56.0,"1,62,38,431","2,20,04,23,614.25","71,313",2021-02-16
17-Feb-2021,EQ,132.1,139.75,132.1,133.15,139.0,139.1,136.69,143.2,56.0,"1,54,10,572","2,10,64,90,155.15","70,819",2021-02-17
18-Feb-2021,EQ,139.35,143.9,137.85,139.1,141.2,141.55,140.56,143.9,56.0,"1,45,49,793","2,04,51,69,493.80","76,632",2021-02-18
19-Feb-2021,EQ,140.4,142.7,133.0,141.55,135.5,135.4,138.28,143.9,56.0,"1,72,12,311","2,38,01,34,896.90","87,715",2021-02-19
22-Feb-2021,EQ,135.5,136.55,129.25,135.4,130.0,130.3,132.3,143.9,56.0,"95,55,001","1,26,41,03,373.15","57,256",2021-02-22
23-Feb-2021,EQ,131.25,135.6,130.25,130.3,135.1,134.2,132.94,143.9,56.0,"1,07,06,432","1,42,33,43,375.45","48,717",2021-02-23
24-Feb-2021,EQ,135.65,138.95,135.2,134.2,136.15,136.35,137.23,143.9,56.0,"75,52,240","1,03,64,25,261.50","41,062",2021-02-24
25-Feb-2021,EQ,137.1,143.0,137.05,136.35,142.2,141.7,140.33,143.9,56.0,"1,97,75,340","2,77,50,77,497.50","84,911",2021-02-25
